Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,59593,ARCH,4770,3,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,16,2,14,Edwin Jhinang Liu (P),08/29-12/20,GREENE STU, 
NR,57933,ARCH,4770,4,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,16,3,13,Matt Burgermaster (P),08/29-12/20,GREENE STU, 
NR,57934,ARCH,4770,5,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,16,1,15,Caleb White (P),08/29-12/20,GREENE STU, 
NR,59273,ARCH,4770,6,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,16,2,14,John Rhett Russo (P),08/29-12/20,GREENE STU, 
NR,59278,ARCH,4770,7,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,16,0,16,James Fleet Hower (P),08/29-12/20,TBA, 
NR,59894,ARCH,4770,50,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWF,02:00 pm-05:50 pm,16,12,4,"Edwin Jhinang Liu (P), James Fleet Hower",08/29-12/20,TBA, 
NR,58381,ARCH,4770,80,T,5,ARCHITECTURAL DESIGN STUDIO 5,MWR,02:00 pm-05:50 pm,18,3,15,Florencia Vetcher (P),08/29-12/20,GREENE STU, 
NR,57892,ARCH,4780,1,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,16,0,16,Edward Jeremy Keller (P),08/29-12/20,GREENE STU, 
NR,59285,ARCH,4780,2,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,16,5,11,Edwin Jhinang Liu (P),08/29-12/20,GREENE STU, 
NR,57893,ARCH,4780,3,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,16,1,15,Matt Burgermaster (P),08/29-12/20,GREENE STU, 
NR,57894,ARCH,4780,4,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,16,5,11,Caleb White (P),08/29-12/20,GREENE STU, 
NR,59274,ARCH,4780,6,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,16,1,15,John Rhett Russo (P),08/29-12/20,GREENE STU, 
NR,59279,ARCH,4780,7,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,18,7,11,James Fleet Hower (P),08/29-12/20,TBA, 
NR,59895,ARCH,4780,50,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWF,02:00 pm-05:50 pm,16,2,14,"Edwin Jhinang Liu (P), James Fleet Hower",08/29-12/20,TBA, 
NR,58382,ARCH,4780,80,T,5,ARCHITECTURAL DESIGN STUDIO 6,MWR,02:00 pm-05:50 pm,18,2,16,Florencia Vetcher (P),08/29-12/20,GREENE STU, 
NR,58100,ARCH,4790,1,T,5,ARCHITECTURAL DESGIN STUDIO 7,MWR,02:00 pm-05:50 pm,62,15,47,Edward Jeremy Keller (P),08/29-12/20,GREENE STU, 
NR,59286,ARCH,4790,2,T,5,ARCHITECTURAL DESGIN STUDIO 7,MWR,02:00 pm-05:50 pm,16,4,12,Caleb White (P),08/29-12/20,GREENE STU, 
NR,58101,ARCH,4790,3,T,5,ARCHITECTURAL DESGIN STUDIO 7,MWR,02:00 pm-05:50 pm,16,5,11,Edwin Jhinang Liu (P),08/29-12/20,GREENE STU, 
NR,58102,ARCH,4790,4,T,5,ARCHITECTURAL DESGIN STUDIO 7,MWR,02:00 pm-05:50 pm,65,12,53,John Rhett Russo (P),08/29-12/20,GREENE STU, 
NR,59603,ARCH,4790,5,T,5,ARCHITECTURAL DESGIN STUDIO 7,MWR,02:00 pm-05:50 pm,16,9,7,Florencia Vetcher (P),08/29-12/20,GREENE STU, 
NR,59250,ARCH,4790,6,T,5,ARCHITECTURAL DESGIN STUDIO 7,MWR,02:00 pm-05:50 pm,16,12,4,Matt Burgermaster (P),08/29-12/20,GREENE STU, 
NR,57895,ARCH,4820,1,T,5,COMPREHENSIVE DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,58,12,46,Per S. Svedberg (P),08/29-12/20,GREENE STU, 
NR,59773,ARCH,4820,2,T,5,COMPREHENSIVE DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,12,8,4,Ted Krueger (P),08/29-12/20,GREENE STU, 
NR,58461,ARCH,4820,3,T,5,COMPREHENSIVE DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,12,11,1,Marcus Carter (P),08/29-12/20,GREENE STU, 
C,59774,ARCH,4820,4,T,5,COMPREHENSIVE DESIGN STUDIO 1,MWR,02:00 pm-05:50 pm,12,12,0,Yael Erel (P),08/29-12/20,GREENE STU, 
NR,58103,ARCH,4830,1,T,5,INTEGRATED DESIGN DEVELOPMENT STUDIO,MWR,02:00 pm-05:50 pm,12,7,5,Lonn J. Combs (P),08/29-12/20,GREENE STU, 
NR,58164,ARCH,4830,2,T,5,INTEGRATED DESIGN DEVELOPMENT STUDIO,MWR,02:00 pm-05:50 pm,12,8,4,Arta Yazdanseta (P),08/29-12/20,GREENE STU, 
NR,55349,ARCH,4840,1,T,4,ARCHITECTURAL ACOUSTICS 1,F,02:00 pm-05:50 pm,15,9,6,David William Kahn (P),08/29-12/20,GREENE 204, 
NR,56572,ARCH,4860,1,T,3,APPLIED PSYCHOACOUSTICS,T,09:00 am-11:50 am,15,4,11,Jonas Braasch (P),08/29-12/20,GREENE 204, 
NR,58127,ARCH,4890,1,T,3,ENGINEERING ACOUSTICS,W,10:00 am-12:50 pm,10,2,8,Ning Xiang (P),08/29-12/20,GREENE 204, 
NR,57896,ARCH,4910,1,T,3,FINAL PROJECT DESIGN RESEARCH SEMINAR,F,02:00 pm-04:50 pm,14,11,3,Caleb White (P),08/29-12/20,TROY 2018, 
NR,57897,ARCH,4910,2,T,3,FINAL PROJECT DESIGN RESEARCH SEMINAR,F,02:00 pm-04:50 pm,14,12,2,Christopher S Perry (P),08/29-12/20,GREENE STU, 
NR,57898,ARCH,4910,3,T,3,FINAL PROJECT DESIGN RESEARCH SEMINAR,M,10:00 am-12:50 pm,14,12,2,Ryosuke Imaeda (P),08/29-12/20,LOW 3116, 
NR,57899,ARCH,4910,4,T,3,FINAL PROJECT DESIGN RESEARCH SEMINAR,F,02:00 pm-04:50 pm,14,12,2,Hseng Tai Ja Reng Lintner (P),08/29-12/20,LOW 3039, 
NR,59910,ARCH,4910,5,T,3,FINAL PROJECT DESIGN RESEARCH SEMINAR,M,10:00 am-12:50 pm,15,11,4,Florencia Vetcher (P),08/29-12/20,LOW 3130, 
